;Player;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass
201;Antonio Barreca;266;66.5;4975;2106
202;Leandro Barreiro Martins;275;74.7;5103;1464
203;Ander Barrenetxea;139;72.8;2344;593
204;Édgar Barreto;28;84.8;532;105
205;Musa Barrow;431;72.1;7549;2130
206;Musa Barrow;43;82.7;717;154
207;Fin Bartels;112;74.2;1911;564
208;Marc Bartra;1422;86.9;30963;8554
209;Daniele Baselli;584;80.7;11724;3008
210;Chris Basham;1084;74.2;20420;6633
211;Toma Bašić;456;78.6;9458;2259
212;Thomas Basila;208;83.5;4086;1411
213;Gil Bastião Dias;100;72.5;1707;554
214;Gil Bastião Dias;517;80.9;8625;3222
215;Borja Bastón;4;80.0;81;28
216;Alessandro Bastoni;1256;88.0;26106;8051
217;Bastos;378;90.9;7006;1907
218;Oliver Batista-Meier;3;75.0;36;0
219;Michy Batshuayi;61;80.3;774;85
220;Cristian Battocchio;667;79.5;13788;3727
221;Oliver Baumann;1012;77.7;25497;14467
222;Julian Baumgartlinger;1030;90.3;17772;3665
223;Christoph Baumgartner;354;71.4;5397;1138
224;Noah Joel Sarenren Bazee;39;54.9;629;141
225;Ihlas Bebou;456;70.9;6793;1830
226;Rodrigo Becão;899;86.3;18661;6731
227;Sheraldo Becker;81;60.9;1385;607
228;Timo Becker;120;80.0;2384;977
229;Jan Bednarek;1143;79.7;23194;7627
230;Asmir Begović;29;80.6;744;466
231;Valon Behrami;369;83.9;6278;1579
232;Maximilian Beier;15;68.2;199;30
233;Gaëtan Belaud;286;78.4;5960;1789
234;Ishak Belfodil;49;75.4;695;156
235;Haris Belkebla;731;86.5;14104;3126
236;Raoul Bellanova;23;79.3;393;87
237;Raoul Bellanova;12;92.3;183;15
238;Karim Bellarabi;487;68.9;8072;2612
