;Player;ShootOnTarget;ShootPer90;GoalPerShoot
439;João Cancelo;4;1.12;0.00
440;Antonio Candreva;14;1.94;0.12
441;Gianmarco Cangiano;0;0.00;
442;Todd Cantwell;16;1.52;0.14
443;Ander Capa;7;0.53;0.18
444;Pierrick Capelle;11;1.80;0.03
445;Étienne Capoue;1;0.65;0.00
446;Gianluca Caprari;8;3.24;0.13
447;Gianluca Caprari;6;2.29;0.07
448;Francesco Caputo;33;2.21;0.26
449;Maxence Caqueret;2;0.63;0.00
450;Andrea Carboni;0;0.24;0.00
451;Irvin Cardona;14;3.10;0.12
452;Marc Cardona;4;1.66;0.08
453;Diego Carlos;2;0.57;0.10
454;Lionel Carole;0;0.35;0.00
455;Yannick Carrasco;6;2.42;0.06
456;Daniel Carriço;0;0.43;0.00
457;Guido Carrillo;12;2.60;0.03
458;Andy Carroll;3;2.14;0.00
459;Dani Carvajal;9;0.66;0.05
460;Matis Carvalho;0;0.00;
461;William Carvalho;2;0.61;0.00
462;Casemiro;12;1.28;0.09
463;Moreto Cassamã;0;0.46;0.00
464;Francesco Cassata;8;0.80;0.15
465;Timothy Castagne;4;0.86;0.06
466;Koen Casteels;0;0.00;
467;Jean-Charles Castelletto;1;0.15;0.33
468;Samu Castillejo;8;2.31;0.06
469;Jonny Castro;5;0.53;0.12
470;Lucas Castro;2;2.12;0.00
471;Lucas Castro;3;2.08;0.14
472;Gaetano Castrovilli;11;1.62;0.06
473;Danilo Cataldi;1;1.37;0.11
474;Craig Cathcart;1;0.07;0.00
475;Edinson Cavani;10;4.17;0.11
476;Santi Cazorla;14;1.43;0.08
477;Dani Ceballos;3;0.69;0.00
478;Federico Ceccherini;0;0.43;0.00
479;Christian Celesia;0;0.00;
480;Zeki Çelik;1;0.22;0.00
481;Fabien Centonze;3;0.32;0.00
482;Luca Ceppitelli;2;0.36;0.40
483;Alberto Cerri;4;2.14;0.10
484;Alberto Cerri;3;2.58;0.14
485;Julian Chabot;1;0.16;1.00
486;Florian Chabrolle;0;0.00;
487;Fouad Chafik;0;0.41;0.00
488;Sofian Chakla;0;0.50;0.00
489;Nathaniel Chalobah;0;0.87;0.00
490;Calum Chambers;2;0.98;0.08
491;Jhon Chancellor;3;0.52;0.23
492;Timothy Chandler;8;1.40;0.26
493;Kwon Chang-hoon;6;2.00;0.13
494;Gaëtan Charbonnier;14;2.09;0.08
495;Brendan Chardonnet;0;0.33;0.00
496;Charles;9;1.59;0.22
497;Xavier Chavalerin;3;0.80;0.05
498;Pablo Chavarría;0;2.15;0.00
499;Aurélien Chedjou;2;0.37;0.00
500;Pape Cheikh Diop;0;0.30;0.00
501;Chema;0;0.87;0.00
502;Rayan Cherki;2;1.89;0.00
503;Denis Cheryshev;7;2.04;0.05
504;Giorgio Chiellini;1;0.45;1.00
505;Federico Chiesa;40;3.72;0.09
506;Ben Chilwell;6;0.57;0.20
507;Vlad Chiricheș;0;0.25;0.00
508;Tahith Chong;0;2.43;0.00
509;Joris Chotard;2;0.79;0.00
510;Hamza Choudhury;2;0.71;0.14
511;Mounir Chouiar;17;2.27;0.11
512;Andreas Christensen;2;0.36;0.00
513;Samuel Chukwueze;11;2.20;0.06
514;Darko Churlinov;0;0.00;
515;Churripi;0;0.00;
516;Luca Cigarini;1;0.39;0.00
517;Per Ciljan Skjelbred;0;0.06;0.00
518;Jasper Cillessen;0;0.00;
519;Thiago Cionek;2;0.46;0.00
