;Player;Crosses;PenaltyWon;AerialWonRate
491;Jhon Chancellor;1;0;63.9
492;Timothy Chandler;47;0;58.3
493;Kwon Chang-hoon;16;1;41.0
494;Gaëtan Charbonnier;33;1;38.2
495;Brendan Chardonnet;0;0;59.6
496;Charles;3;1;36.4
497;Xavier Chavalerin;37;0;45.5
498;Pablo Chavarría;5;0;62.1
499;Aurélien Chedjou;0;0;66.2
500;Pape Cheikh Diop;1;0;27.3
501;Chema;0;0;50.0
502;Rayan Cherki;3;0;0.0
503;Denis Cheryshev;40;1;40.0
504;Giorgio Chiellini;0;0;66.7
505;Federico Chiesa;55;2;16.7
506;Ben Chilwell;78;0;73.8
507;Vlad Chiricheș;1;0;50.0
508;Tahith Chong;0;0;0.0
509;Joris Chotard;8;0;54.3
510;Hamza Choudhury;4;0;57.9
511;Mounir Chouiar;32;0;50.0
512;Andreas Christensen;0;0;63.0
513;Samuel Chukwueze;45;2;26.8
514;Darko Churlinov;1;0;0.0
515;Churripi;0;0;
516;Luca Cigarini;19;0;43.5
517;Per Ciljan Skjelbred;4;0;52.8
518;Jasper Cillessen;0;0;
519;Thiago Cionek;45;1;65.2
520;Ibrahim Cissé;1;0;50.0
521;Ibrahim Cissé;0;0;50.0
522;Andrea Cistana;6;0;50.0
523;Ciaran Clark;2;0;50.0
524;Leon Clarke;1;0;66.7
525;Alexis Claude-Maurice;19;0;52.6
526;Christian Clemens;0;0;
527;Óscar Clemente;0;0;
528;Yannis Clementia;0;0;
529;Denilho Cleonise;0;0;0.0
530;Carlos Clerc;44;0;50.0
531;Tom Cleverley;20;0;36.4
532;Conor Coady;0;0;63.6
533;Marcus Coco;0;0;
534;Renaud Cohade;14;0;70.8
535;Coke;17;0;60.7
536;Séamus Coleman;34;0;57.7
537;Álex Collado;0;0;100.0
538;Ebrima Colley;0;0;50.0
539;Omar Colley;6;0;68.5
540;Jamilu Collins;30;0;50.7
541;Simone Colombi;0;0;
542;Lorenzo Colombo;0;0;
543;Racine Coly;6;0;59.1
544;Kingsley Coman;75;1;48.6
545;Daniel Congré;5;1;55.4
546;Aaron Connolly;7;2;22.6
547;Andrea Consigli;0;0;0.0
548;Andrea Conti;22;0;56.7
549;Lewis Cook;9;0;46.7
550;Steve Cook;3;0;63.9
551;Francis Coquelin;3;1;67.7
552;Gabriele Corbo;0;0;50.0
553;Sébastien Corchia;9;0;
554;Iñigo Córdoba;24;0;48.6
555;Jhon Córdoba;11;0;37.7
556;Sergio Córdova;3;0;29.5
557;Benjamin Corgnet;8;0;45.5
558;Jack Cork;8;0;45.3
559;Andreas Cornelius;9;1;60.4
560;Maxwel Cornet;48;0;45.0
561;Quentin Cornette;31;0;60.0
562;Ángel Correa;28;0;30.2
563;Joaquín Correa;13;3;25.8
564;Rober Correa;18;0;57.9
565;Thierry Correia;3;0;0.0
566;Antonio Cortés;4;0;36.4
567;Angelo da Costa Júnior;0;0;
568;Danny da Costa;66;0;50.0
569;Diego Costa;6;0;40.8
570;Douglas Costa;28;0;12.5
571;Jaume Costa;22;0;50.0
572;Nuno da Costa;6;0;59.4
573;David Costas;0;0;53.3
574;Benoît Costil;0;0;
575;Kalifa Coulibaly;8;0;49.7
576;Senou Coulibaly;0;0;50.0
577;Yoann Court;33;1;36.7
578;Thibaut Courtois;0;0;100.0
579;Philippe Coutinho;18;1;37.5
580;Nicolas Cozza;0;0;60.9
581;Alessio Cragno;0;0;
582;Aaron Cresswell;70;0;60.0
583;Domenico Criscito;47;0;63.6
584;Bryan Cristante;5;0;35.1
585;Sebastián Cristóforo;0;0;
586;Sebastián Cristóforo;7;0;30.0
587;Juan Cuadrado;77;1;41.5
588;Cucho;17;0;38.7
589;Marc Cucurella;105;1;36.8
590;Iván Cuéllar;1;0;
591;Jaume Cuéllar;0;0;0.0
592;Mickaël Cuisance;3;1;0.0
593;Matheus Cunha;5;1;27.3
594;Matheus Cunha;4;0;40.0
595;Felipe Curcio;1;0;100.0
596;Patrick Cutrone;8;1;21.7
597;Patrick Cutrone;6;0;19.2
598;Wylan Cyprien;24;0;55.0
599;Rafael Czichos;4;0;60.4
600;Lennart-Marten Czyborra;0;0;
601;Marco D'Alessandro;23;0;0.0
602;Danilo D'Ambrosio;16;0;54.1
603;Felice D'Amico;0;0;
604;Lucas Da Cunha;1;0;16.7
605;Jacopo Da Riva;0;0;
606;Damien Da Silva;2;0;74.6
607;Bryan Dabo;3;0;61.9
608;Moanes Dabour;10;1;30.3
609;Moanes Dabour;1;0;50.0
610;Colin Dagba;22;0;16.7
611;Mahmoud Dahoud;4;0;37.5
612;Leon Dajaku;0;0;
613;Felipe dal Belo;4;0;64.0
614;Christian Dalle Mura;0;0;
615;Diogo Dalot;2;0;100.0
616;Charlie Daniels;3;0;66.7
617;Danilo;20;0;56.7
618;Scott Dann;2;0;52.9
619;Kevin Danso;6;0;52.4
620;Dante;1;0;71.6
621;Andrea Danzi;0;0;
622;Sergi Darder;19;0;57.1
623;Vladimír Darida;44;0;32.8
624;Matteo Darmian;45;0;50.0
625;Alphonso Davies;68;0;52.9
626;Ben Davies;29;0;65.6
627;Tom Davies;4;0;52.3
628;Keinan Davis;2;0;38.1
629;Paweł Dawidowicz;2;0;66.7
630;Craig Dawson;3;0;75.5
631;Kevin De Bruyne;143;0;45.0
632;Sebastien De Maio;6;0;56.9
633;Rodrigo De Paul;127;0;15.4
634;Mattia De Sciglio;9;0;46.7
635;Lorenzo De Silvestri;67;0;59.6
636;Lucas Deaux;7;0;65.6
637;Mathieu Debuchy;39;0;72.1
638;Troy Deeney;14;1;37.5
639;Grégoire Defrel;2;0;21.4
640;Alessandro Deiola;0;0;
641;Alessandro Deiola;5;0;25.0
