;Player;TacklesWon;TklDribbling;Blocks;SuccPressRatio
2376;Bryan Soumaré;7;6;2;32.5
2377;Arnaud Souquet;28;28;43;25.6
2378;Djibril Sow;39;13;26;31.0
2379;Çağlar Söyüncü;47;29;49;39.9
2380;Nikolas Špalek;14;5;23;23.3
2381;Leonardo Spinazzola;10;11;34;30.5
2382;Marco Sportiello;0;0;0;
2383;Mattia Sprocati;3;0;10;33.7
2384;Bassem Srarfi;0;0;1;8.7
2385;Dennis Srbeny;4;1;0;45.0
2386;Dennis Srbeny;10;4;14;26.6
2387;Jerry St. Juste;36;14;49;36.3
2388;Jack Stacey;13;5;41;25.7
2389;Kostas Stafylidis;0;3;15;17.1
2390;Benjamin Stambouli;21;9;20;37.4
2391;Junior Stanislas;6;4;9;31.8
2392;Niklas Stark;24;11;34;26.8
2393;Jed Steer;0;0;0;
2394;Renato Steffen;17;8;32;30.5
2395;Zack Steffen;0;0;0;0.0
2396;Dale Stephens;40;21;43;32.3
2397;Jack Stephens;35;21;60;35.0
2398;Mariusz Stępiński;4;0;6;27.5
2399;Raheem Sterling;29;10;25;32.0
2400;Enda Stevens;43;24;76;26.6
2401;Marco Stiepermann;7;6;15;20.6
2402;Lars Stindl;25;9;25;28.6
2403;Kevin Stöger;20;12;31;33.0
2404;Vlatko Stojanovski;2;0;0;36.8
